"data_hora","idade","genero","periodo","dificuldades_n_citadas","positivos_n_citados","indice_aprendizado","aspecto","disciplinas","avaliacao","tipo","comp_cursadas","mat_cursadas","prat_cursadas"
"2021/08/10 12:56:57 PM GMT-3",20,"Masculino","2018.2","Cronograma e quantidade de conteúdo cobrados","Flexibilidade de tempo, da para conciliar com mais atividades.",7,"ritmo_proprio","mat",3,"positivo",1,1,1
"2021/08/10 12:56:57 PM GMT-3",20,"Masculino","2018.2","Cronograma e quantidade de conteúdo cobrados","Flexibilidade de tempo, da para conciliar com mais atividades.",7,"ritmo_proprio","comp",3,"positivo",1,1,1
"2021/08/10 12:56:57 PM GMT-3",20,"Masculino","2018.2","Cronograma e quantidade de conteúdo cobrados","Flexibilidade de tempo, da para conciliar com mais atividades.",7,"ritmo_proprio","prat",2,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_tec","mat",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_tec","comp",2,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_tec","prat",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"comunic_prej","mat",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"comunic_prej","comp",3,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"comunic_prej","prat",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_ger_temp","mat",5,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_ger_temp","comp",5,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"prob_ger_temp","prat",5,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"falta_contato","mat",5,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"falta_contato","comp",3,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"falta_contato","prat",3,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"amb_nao_prod","mat",3,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"amb_nao_prod","comp",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"amb_nao_prod","prat",4,"dificuldade",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"estrut_clara","mat",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"estrut_clara","comp",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"estrut_clara","prat",5,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"ritmo_proprio","mat",4,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"ritmo_proprio","comp",4,"positivo",1,1,1
"2021/08/10 12:59:22 PM GMT-3",20,"Masculino","2018.1",NA,NA,4,"ritmo_proprio","prat",4,"positivo",1,1,1
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_tec","mat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_tec","comp",3,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_tec","prat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"comunic_prej","mat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"comunic_prej","comp",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","mat",4,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","comp",4,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","prat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"falta_contato","mat",3,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"falta_contato","comp",3,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","mat",5,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","comp",5,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","prat",1,"dificuldade",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"flex_horario","mat",4,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"flex_horario","comp",4,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"flex_horario","prat",1,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"estrut_clara","mat",3,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"estrut_clara","comp",3,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"estrut_clara","prat",1,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","mat",4,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","comp",4,"positivo",1,1,0
"2021/08/10 1:20:09 PM GMT-3",20,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","prat",1,"positivo",1,1,0
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"comunic_prej","mat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"comunic_prej","comp",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"comunic_prej","prat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_ger_temp","mat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_ger_temp","comp",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"prob_ger_temp","prat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"falta_contato","mat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"falta_contato","comp",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"falta_contato","prat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"amb_nao_prod","mat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"amb_nao_prod","comp",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"amb_nao_prod","prat",1,"dificuldade",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"flex_horario","mat",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"flex_horario","comp",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"flex_horario","prat",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"estrut_clara","mat",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"estrut_clara","comp",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"estrut_clara","prat",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"ritmo_proprio","mat",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"ritmo_proprio","comp",2,"positivo",1,1,1
"2021/08/10 1:37:39 PM GMT-3",21,"Feminino","2018.1",NA,NA,10,"ritmo_proprio","prat",2,"positivo",1,1,1
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_tec","mat",2,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_tec","comp",2,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_tec","prat",1,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"comunic_prej","mat",2,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"comunic_prej","comp",2,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","mat",4,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","comp",4,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"prob_ger_temp","prat",1,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"falta_contato","mat",3,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"falta_contato","comp",3,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","mat",4,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","comp",4,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"amb_nao_prod","prat",1,"dificuldade",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"flex_horario","mat",5,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"flex_horario","comp",4,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"flex_horario","prat",1,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"estrut_clara","mat",3,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"estrut_clara","comp",3,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"estrut_clara","prat",1,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","mat",2,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","comp",2,"positivo",1,1,0
"2021/08/10 2:05:58 PM GMT-3",21,"Masculino","2018.1",NA,NA,3,"ritmo_proprio","prat",1,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_tec","mat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_tec","comp",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_tec","prat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"comunic_prej","mat",5,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"comunic_prej","comp",4,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_ger_temp","mat",5,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_ger_temp","comp",5,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"prob_ger_temp","prat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"falta_contato","mat",3,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"falta_contato","comp",3,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"amb_nao_prod","mat",5,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"amb_nao_prod","comp",5,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"amb_nao_prod","prat",1,"dificuldade",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"flex_horario","mat",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"flex_horario","comp",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"flex_horario","prat",1,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"estrut_clara","mat",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"estrut_clara","comp",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"estrut_clara","prat",1,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"ritmo_proprio","mat",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"ritmo_proprio","comp",5,"positivo",1,1,0
"2021/08/10 2:14:56 PM GMT-3",24,"Masculino","2018.1","Volume muito grande de conteúdo diminuiu a qualidade do meu aprendizado porque eu tenho que estudar as coisas com pressa","Uso de ferramentas para melhorar a interação dos alunos com o professor, como por exemplo ferramentas de chat/votação anônima",3,"ritmo_proprio","prat",1,"positivo",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_tec","mat",4,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_tec","comp",2,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_tec","prat",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"comunic_prej","mat",4,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"comunic_prej","comp",2,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"comunic_prej","prat",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_ger_temp","mat",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_ger_temp","comp",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"prob_ger_temp","prat",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"falta_contato","mat",3,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"falta_contato","comp",3,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"falta_contato","prat",1,"dificuldade",1,1,0
"2021/08/10 2:33:49 PM GMT-3",19,"Masculino","2018.1",NA,NA,5,"amb_nao_prod","mat",5,"dificuldade",1,1,0
